City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hobart,AU,68.0,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
2,Busselton,AU,62.01,light rain,-33.65,115.3333,Observatory Guest House
3,Ancud,CL,62.6,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
5,Hermanus,ZA,66.99,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
7,Port Alfred,ZA,66.99,scattered clouds,-33.5906,26.891,The Halyards Hotel
8,Castro,BR,61.25,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
9,Kodiak,US,35.6,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
16,Bluff,NZ,61.45,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
17,Sao Filipe,CV,69.31,few clouds,14.8961,-24.4956,Tortuga B&B
18,Silver City,US,43.0,clear sky,32.7701,-108.2803,Copper Manor Motel
19,Mae Ramat,TH,69.8,mist,16.984,98.5166,บ้านโฮ่งโฮมสเตย์ แม่ระมาด ตาก
21,Aswan,EG,55.02,clear sky,24.0934,32.907,Nuba Nile
22,Lagoa,PT,60.15,overcast clouds,39.05,-27.9833,Casa Das Faias
24,Lindenberg,DE,43.0,overcast clouds,49.3803,8.0986,Hotel Tenner
28,Jodhpur,IN,52.07,clear sky,26.2867,73.03,"Umaid Bhawan Palace, Jodhpur"
30,Izumo,JP,51.8,broken clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
51,Tartus,SY,55.4,clear sky,34.889,35.8866,Antaradus Hotel
53,Lebu,CL,57.81,few clouds,-37.6167,-73.65,Hostal Las Lilas
55,Ushuaia,AR,50.0,scattered clouds,-54.8,-68.3,Albatros Hotel
56,Cidreira,BR,67.93,broken clouds,-30.1811,-50.2056,Hotel Castelo
57,Ribeira Grande,PT,61.14,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
58,New Norfolk,AU,66.0,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
