City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.8794,147.3294,68.0,63,75,17.27,broken clouds
1,Mataura,NZ,-46.1927,168.8643,81.86,44,5,1.34,clear sky
2,Busselton,AU,-33.65,115.3333,62.01,95,100,3.0,light rain
3,Ancud,CL,-41.8697,-73.8203,62.6,45,0,10.36,clear sky
4,Fuerte Olimpo,PY,-21.0415,-57.8738,70.05,64,0,4.12,clear sky
5,Hermanus,ZA,-34.4187,19.2345,66.99,94,98,4.76,overcast clouds
6,Verkhoyansk,RU,67.5447,133.385,-22.41,83,98,1.77,overcast clouds
7,Port Alfred,ZA,-33.5906,26.891,66.99,87,33,4.0,scattered clouds
8,Castro,BR,-24.7911,-50.0119,61.25,92,42,10.87,scattered clouds
9,Kodiak,US,57.79,-152.4072,35.6,64,1,5.75,clear sky
10,Carnarvon,AU,-24.8667,113.6333,86.0,100,52,10.36,broken clouds
11,Labuhan,ID,-6.8844,112.2051,82.71,79,4,12.95,clear sky
12,Tilichiki,RU,60.4667,166.1,18.03,88,100,17.92,light snow
13,Tiksi,RU,71.6872,128.8694,-25.76,84,100,5.35,overcast clouds
14,Koslan,RU,63.4564,48.8989,-24.41,82,47,10.38,scattered clouds
15,Clyde River,CA,70.4692,-68.5914,-7.6,77,90,2.3,overcast clouds
16,Bluff,NZ,-46.6,168.3333,61.45,71,0,7.96,clear sky
17,Sao Filipe,CV,14.8961,-24.4956,69.31,74,18,14.97,few clouds
18,Silver City,US,32.7701,-108.2803,43.0,26,1,6.91,clear sky
19,Mae Ramat,TH,16.984,98.5166,69.8,83,0,0.78,mist
20,Butaritari,KI,3.0707,172.7902,80.98,81,71,20.78,broken clouds
21,Aswan,EG,24.0934,32.907,55.02,63,0,4.76,clear sky
22,Lagoa,PT,39.05,-27.9833,60.15,91,100,27.47,overcast clouds
23,Ulladulla,AU,-35.35,150.4667,77.0,50,75,1.14,broken clouds
24,Lindenberg,DE,49.3803,8.0986,43.0,97,100,7.2,overcast clouds
25,Macamic,CA,48.7502,-78.9996,12.2,73,75,11.5,light snow
26,Langham,CA,52.3668,-106.9679,-22.0,69,20,5.75,few clouds
27,Malyye Derbety,RU,47.9547,44.6808,25.14,83,0,11.34,clear sky
28,Jodhpur,IN,26.2867,73.03,52.07,42,0,6.29,clear sky
29,Tautira,PF,-17.7333,-149.15,86.0,62,20,11.5,light rain
30,Izumo,JP,35.3667,132.7667,51.8,66,75,9.22,broken clouds
31,Quelimane,MZ,-17.8786,36.8883,82.4,89,20,3.27,light rain
32,Rikitea,PF,-23.1203,-134.9692,78.85,65,100,10.0,overcast clouds
33,Yellowknife,CA,62.456,-114.3525,-41.8,74,1,3.44,mist
34,Dikson,RU,73.5069,80.5464,-27.47,87,90,9.57,overcast clouds
35,Hambantota,LK,6.1241,81.1185,71.6,100,20,1.14,few clouds
36,Hilo,US,19.7297,-155.09,77.0,57,75,6.91,broken clouds
37,Meiktila,MM,20.8667,95.8667,75.02,47,71,6.08,broken clouds
38,Jamestown,US,42.097,-79.2353,17.6,53,1,6.91,clear sky
39,Finschhafen,PG,-6.6024,147.8681,86.31,66,94,2.42,light rain
40,Trinidad,BO,-14.8333,-64.9,76.87,77,56,2.62,broken clouds
41,Geraldton,AU,-28.7667,114.6,73.4,78,75,23.02,broken clouds
42,Airai,TL,-8.9266,125.4092,72.81,73,63,4.99,broken clouds
43,Qaanaaq,GL,77.484,-69.3632,10.69,87,100,7.56,overcast clouds
44,North Platte,US,41.1239,-100.7654,10.4,72,90,9.22,light snow
45,Nikolskoye,RU,59.7035,30.7861,10.4,85,75,15.66,snow
46,Vaini,TO,-21.2,-175.2,84.2,84,75,9.22,broken clouds
47,Bethel,US,41.3712,-73.414,28.99,68,1,4.61,clear sky
48,Upernavik,GL,72.7868,-56.1549,18.97,75,0,4.59,clear sky
49,Khatanga,RU,71.9667,102.5,-35.28,78,0,8.55,clear sky
50,Puerto Ayora,EC,-0.7393,-90.3518,77.0,94,66,6.76,broken clouds
51,Tartus,SY,34.889,35.8866,55.4,76,0,9.22,clear sky
52,Dvinskoy,RU,62.1535,45.1175,-16.49,85,77,8.81,broken clouds
53,Lebu,CL,-37.6167,-73.65,57.81,93,24,1.86,few clouds
54,Hithadhoo,MV,-0.6,73.0833,81.3,75,61,12.77,broken clouds
55,Ushuaia,AR,-54.8,-68.3,50.0,71,40,9.22,scattered clouds
56,Cidreira,BR,-30.1811,-50.2056,67.93,75,71,6.02,broken clouds
57,Ribeira Grande,PT,38.5167,-28.7,61.14,88,95,21.88,overcast clouds
58,New Norfolk,AU,-42.7826,147.0587,66.0,47,39,3.0,scattered clouds
59,Boyolangu,ID,-8.1181,111.8935,82.98,73,32,7.76,scattered clouds
60,Avarua,CK,-21.2078,-159.775,86.0,66,17,11.5,few clouds
61,Balykshi,KZ,47.0667,51.8667,15.8,86,0,6.71,clear sky
62,Port Elizabeth,ZA,-33.918,25.5701,68.0,77,0,13.8,clear sky
63,Lubango,AO,-14.9172,13.4925,64.63,52,100,1.97,overcast clouds
64,Punta Arenas,CL,-53.15,-70.9167,50.0,71,0,16.11,clear sky
65,Aykhal,RU,66.0,111.5,-31.04,82,3,8.86,clear sky
66,Puerto Escondido,MX,15.85,-97.0667,80.6,74,75,4.61,broken clouds
67,Fomboni,KM,-12.28,43.7425,83.07,74,100,9.42,moderate rain
68,East London,ZA,-33.0153,27.9116,72.25,88,71,17.09,broken clouds
69,Albany,US,42.6001,-73.9662,25.0,45,0,2.01,clear sky
70,Severo-Kurilsk,RU,50.6789,156.125,22.71,93,93,21.92,light snow
71,Camopi,GF,3.1655,-52.3158,71.46,98,100,1.66,overcast clouds
72,Ixtapa,MX,20.7,-105.2,72.0,83,40,5.75,scattered clouds
73,Talnakh,RU,69.4865,88.3972,-30.03,73,0,1.54,clear sky
74,Saint-Philippe,RE,-21.3585,55.7679,78.8,69,40,6.91,scattered clouds
75,Cape Town,ZA,-33.9258,18.4232,70.0,83,20,11.5,light rain
76,Dunedin,NZ,-45.8742,170.5036,61.0,77,0,28.01,clear sky
77,Chokurdakh,RU,70.6333,147.9167,-21.35,86,98,4.23,overcast clouds
78,Pemangkat,ID,1.1667,108.9667,81.14,80,52,4.07,light rain
79,Nemuro,JP,43.3236,145.575,24.44,97,100,10.8,light snow
80,Raga,SS,8.4596,25.678,55.76,36,1,4.12,clear sky
81,San Rafael,AR,-34.6177,-68.3301,80.35,31,0,10.92,clear sky
82,Victoria,HK,22.2855,114.1577,71.01,71,0,11.77,clear sky
83,Melfort,CA,52.8667,-104.6177,-25.6,68,25,8.05,scattered clouds
84,Pringsewu,ID,-5.3582,104.9744,79.56,82,98,6.15,overcast clouds
85,Harper,LR,4.375,-7.7169,79.02,88,0,8.81,clear sky
86,Barrow,US,71.2906,-156.7887,-4.0,77,90,14.97,haze
87,Mahebourg,MU,-20.4081,57.7,75.0,86,4,1.99,light rain
88,Tasiilaq,GL,65.6145,-37.6368,32.0,59,82,27.63,broken clouds
89,Shimoda,JP,34.6667,138.95,55.0,55,0,1.99,clear sky
90,Kurilsk,RU,45.2333,147.8833,18.12,89,100,12.86,overcast clouds
91,Salamiyah,SY,35.0113,37.0532,47.98,83,0,5.12,clear sky
92,Nabire,ID,-3.3667,135.4833,82.22,68,100,1.14,overcast clouds
93,Thompson,CA,55.7435,-97.8558,-27.4,68,40,12.66,snow
94,Tianpeng,CN,30.9866,103.9393,57.99,1,0,3.11,clear sky
95,Mandalgarh,IN,25.2,75.1,50.45,48,0,0.87,clear sky
96,Vila,PT,42.0304,-8.1588,36.0,90,45,3.09,scattered clouds
97,Luderitz,NA,-26.6481,15.1594,67.42,70,0,22.7,clear sky
98,Anloga,GH,5.7947,0.8973,84.2,84,20,12.66,few clouds
99,Guatire,VE,10.4762,-66.5427,80.6,74,20,3.0,few clouds
100,Manokwari,ID,-0.8667,134.0833,78.15,86,100,2.98,overcast clouds
101,Zhezkazgan,KZ,47.8043,67.7144,14.11,95,52,14.56,broken clouds
102,Pacific Grove,US,36.6177,-121.9166,55.0,94,75,4.61,broken clouds
103,Srednekolymsk,RU,67.45,153.6833,-13.18,84,0,1.61,clear sky
104,Pevek,RU,69.7008,170.3133,-6.57,87,0,4.9,clear sky
105,Boende,CD,-0.2167,20.8667,74.14,82,57,1.86,broken clouds
106,Atuona,PF,-9.8,-139.0333,79.99,80,73,18.21,broken clouds
107,Fort Portal,UG,0.6617,30.2748,63.19,44,15,3.51,few clouds
108,Axim,GH,4.8699,-2.2405,79.56,87,56,9.69,broken clouds
109,Rocha,UY,-34.4833,-54.3333,63.48,94,3,4.12,clear sky
110,Jalu,LY,29.0331,21.5482,57.67,43,0,8.41,clear sky
111,Vilhena,BR,-12.7406,-60.1458,69.1,93,66,2.19,broken clouds
112,Mar Del Plata,AR,-38.0023,-57.5575,64.0,77,20,11.5,few clouds
113,Bredasdorp,ZA,-34.5322,20.0403,66.2,88,97,3.44,light rain
114,Bilma,NE,18.6853,12.9164,59.59,29,6,5.86,clear sky
115,Gambela,ET,8.25,34.5833,72.81,22,37,2.28,scattered clouds
116,Ceres,US,37.5949,-120.9577,57.99,44,1,2.57,clear sky
117,Panaba,MX,21.2833,-88.2667,75.78,83,0,9.48,clear sky
118,Ambilobe,MG,-13.2,49.05,72.72,94,99,2.75,overcast clouds
119,Dhankuta,NP,26.9833,87.3333,47.17,72,48,6.02,scattered clouds
120,Fairbanks,US,64.8378,-147.7164,-5.01,84,90,1.34,light snow
121,Codrington,AU,-38.2667,141.9667,60.4,64,100,12.3,overcast clouds
122,Kitimat,CA,54.0524,-128.6534,33.01,94,97,2.3,overcast clouds
123,Chuy,UY,-33.6971,-53.4616,66.58,90,0,8.77,clear sky
124,Buala,SB,-8.145,159.5921,77.7,82,100,4.92,light rain
125,Diamantino,BR,-14.4086,-56.4461,75.56,76,94,1.66,overcast clouds
126,Doka,SD,13.5167,35.7667,59.32,38,0,13.2,clear sky
127,Laiyang,CN,36.9758,120.7136,37.53,70,0,14.54,clear sky
128,Yumen,CN,40.2833,97.2,32.0,65,100,4.41,overcast clouds
129,Lasa,IT,46.6166,10.7002,39.0,93,100,5.44,light rain
130,Neiafu,TO,-18.65,-173.9833,77.0,94,90,11.5,light rain
131,Laguna,US,38.421,-121.4238,57.99,58,1,3.67,clear sky
132,Walla Walla,US,46.0646,-118.343,50.0,61,90,29.93,overcast clouds
133,Hutchinson,US,38.0608,-97.9298,15.8,73,40,9.22,scattered clouds
134,Ostrovnoy,RU,68.0531,39.5131,8.35,92,100,10.76,light snow
135,Kapaa,US,22.0752,-159.319,73.4,53,75,6.91,broken clouds
136,Umm Kaddadah,SD,13.6017,26.6876,56.21,38,0,13.13,clear sky
137,Balkhash,KZ,46.844,74.9804,32.0,93,75,13.42,broken clouds
138,Tambovka,RU,50.0969,128.0489,-13.0,64,0,2.24,clear sky
139,Tuatapere,NZ,-46.1333,167.6833,71.83,47,10,6.04,clear sky
140,Kaduna,NG,10.5222,7.4383,67.69,25,99,7.23,overcast clouds
141,Alta Floresta,BR,-9.8756,-56.0861,71.51,99,100,2.93,overcast clouds
142,San Patricio,US,28.017,-97.5169,64.4,59,1,5.75,clear sky
143,Tandalti,SD,13.0167,31.8667,59.2,35,0,10.85,clear sky
144,Tumen,CN,42.9661,129.8425,14.74,80,0,5.06,clear sky
145,Jega,NG,12.2175,4.3792,72.37,21,1,9.44,clear sky
146,Lypnyazhka,UA,48.4469,31.0761,16.57,96,96,8.99,overcast clouds
147,Karratha,AU,-20.7377,116.8463,83.03,48,0,9.19,clear sky
148,Merauke,ID,-8.4667,140.3333,84.38,77,98,15.1,overcast clouds
149,Ngaoundere,CM,7.3167,13.5833,60.82,31,35,3.18,scattered clouds
150,Palembang,ID,-2.9167,104.7458,78.8,89,40,9.22,scattered clouds
151,Skjervoy,NO,70.0311,20.9714,30.33,93,100,20.4,light snow
152,Yulara,AU,-25.2406,130.9889,87.8,22,0,16.11,clear sky
153,Adrar,MR,20.5022,-10.0711,55.92,42,100,9.86,overcast clouds
154,Haines Junction,CA,60.7522,-137.5108,-18.4,69,52,1.14,broken clouds
155,Port Lincoln,AU,-34.7333,135.8667,62.55,67,99,12.08,overcast clouds
156,Nome,US,64.5011,-165.4064,17.6,73,90,4.61,overcast clouds
157,Hua Hin,TH,12.5707,99.9588,73.4,78,0,4.38,clear sky
158,Aklavik,CA,68.2191,-135.0107,-16.6,76,100,4.61,overcast clouds
159,Georgetown,MY,5.4112,100.3354,82.99,74,20,8.05,few clouds
160,San Policarpo,PH,12.1791,125.5072,81.28,84,100,15.48,overcast clouds
161,Grand Gaube,MU,-20.0064,57.6608,75.0,86,2,1.99,clear sky
162,Saskylakh,RU,71.9167,114.0833,-42.0,78,24,7.58,few clouds
163,Namibe,AO,-15.1961,12.1522,70.39,80,67,5.32,broken clouds
164,Saint George,US,37.1041,-113.5841,55.0,25,1,6.91,clear sky
165,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,75.42,93,78,2.01,broken clouds
166,Nanortalik,GL,60.1432,-45.2371,26.31,92,100,6.87,overcast clouds
167,Khandagayty,RU,50.7333,92.05,-3.32,89,100,2.15,overcast clouds
168,Mackenzie,CA,55.2999,-123.1698,-5.8,77,20,4.52,few clouds
169,Simbahan,PH,6.3032,120.5836,81.3,81,100,10.6,overcast clouds
170,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,76,90,19.57,snow
171,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.1,96,100,14.67,moderate rain
172,Myre,NO,69.1036,15.9492,33.8,69,99,14.97,overcast clouds
173,Vao,NC,-22.6667,167.4833,78.03,80,0,5.46,clear sky
174,Katsuura,JP,35.1333,140.3,57.0,66,20,5.75,few clouds
175,Port Hardy,CA,50.6996,-127.4199,42.8,75,75,11.5,broken clouds
176,Mizan Teferi,ET,6.9833,35.5833,62.78,37,35,1.92,scattered clouds
177,Mehamn,NO,71.0357,27.8492,25.68,94,100,22.28,light snow
178,Alegrete,BR,-29.7831,-55.7919,66.04,70,0,5.66,clear sky
179,Guerrero Negro,MX,27.9769,-114.0611,63.28,54,0,9.8,clear sky
180,Fortuna,US,40.5982,-124.1573,48.99,87,90,10.36,overcast clouds
181,Palmer,US,42.1584,-72.3287,26.01,68,40,4.43,scattered clouds
182,Esperance,AU,-33.8667,121.9,60.8,94,75,12.66,broken clouds
183,Kununurra,AU,-15.7667,128.7333,84.2,84,75,5.75,broken clouds
184,Dingle,PH,10.9995,122.6711,81.48,81,79,15.01,broken clouds
185,Cabo San Lucas,MX,22.8909,-109.9124,68.0,68,20,3.44,few clouds
186,Luba,GQ,3.4568,8.5547,80.6,89,20,9.22,few clouds
187,Gunnedah,AU,-30.9833,150.25,82.0,47,31,1.99,scattered clouds
188,Port Macquarie,AU,-31.4333,152.9167,86.0,50,100,1.99,overcast clouds
189,Torbay,CA,47.6666,-52.7314,39.99,93,75,32.21,broken clouds
190,Bambous Virieux,MU,-20.3428,57.7575,75.0,86,0,1.99,clear sky
191,Kazachinskoye,RU,57.6953,93.2761,23.9,97,100,6.31,overcast clouds
192,Tambura,SS,5.6,27.4667,64.31,27,8,6.98,clear sky
193,Golden,US,39.7555,-105.2211,39.99,32,40,5.75,scattered clouds
194,Lompoc,US,34.6391,-120.4579,53.6,87,1,6.91,clear sky
195,Lata,PT,40.1629,-8.3327,50.0,66,40,12.66,scattered clouds
196,Shangrao,CN,28.4532,117.9686,61.75,70,0,5.26,clear sky
197,Laurel,US,39.0993,-76.8483,42.01,80,1,3.44,clear sky
198,Norman Wells,CA,65.282,-126.8329,-29.2,75,75,2.3,broken clouds
199,Oksfjord,NO,70.2396,22.3479,27.0,86,100,12.66,snow
200,Kolondieba,ML,11.0882,-6.8926,78.21,19,81,1.83,broken clouds
201,Muzhi,RU,65.3667,64.6667,-27.99,85,100,17.13,light snow
202,Pisco,PE,-13.7,-76.2167,69.8,88,90,6.91,overcast clouds
203,Hobyo,SO,5.3505,48.5268,76.51,80,0,13.78,clear sky
204,Bengkulu,ID,-3.8004,102.2655,83.57,59,100,5.48,overcast clouds
205,Arraial Do Cabo,BR,-22.9661,-42.0278,75.13,83,100,4.81,moderate rain
206,Atar,MR,20.5169,-13.0499,57.7,39,47,12.48,scattered clouds
207,North Bend,US,43.4065,-124.2243,48.0,93,90,4.61,overcast clouds
208,Plettenberg Bay,ZA,-34.0527,23.3716,68.61,73,69,6.58,broken clouds
209,Gillette,US,44.2911,-105.5022,8.6,78,90,21.85,overcast clouds
210,Zanjan,IR,36.6736,48.4787,39.36,87,100,2.68,overcast clouds
211,Arona,ES,28.0996,-16.681,60.8,67,20,5.75,few clouds
212,Bathsheba,BB,13.2167,-59.5167,77.22,79,97,18.72,overcast clouds
213,Thanh Hoa,VN,19.8,105.7667,73.45,65,0,2.46,clear sky
214,Douglas,US,41.3,-96.167,5.0,66,1,3.44,clear sky
215,Sechura,PE,-5.5569,-80.8222,76.53,66,90,13.62,overcast clouds
216,Vryburg,ZA,-26.9566,24.7284,63.43,92,0,5.01,clear sky
217,Soure,BR,-0.7167,-48.5233,79.32,86,100,10.0,overcast clouds
218,Komsomolskiy,UZ,40.4272,71.7189,41.0,60,100,4.61,light rain
219,Bainbridge,US,47.6262,-122.5212,48.2,71,75,8.05,broken clouds
220,Bredy,RU,52.4153,60.3411,4.87,90,74,23.85,broken clouds
221,Provideniya,RU,64.3833,-173.3,1.45,87,2,7.23,clear sky
222,Coahuayana,MX,18.7333,-103.6833,73.4,78,1,0.09,clear sky
223,Namtsy,RU,62.7161,129.6658,-40.0,60,100,4.47,fog
224,Saint-Joseph,RE,-21.3667,55.6167,78.8,69,20,6.91,few clouds
225,Sitka,US,57.0531,-135.33,32.0,55,20,5.75,few clouds
226,Buraydah,SA,26.326,43.975,48.2,100,75,9.22,broken clouds
227,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.65,85,82,8.14,broken clouds
228,Vardo,NO,70.3705,31.1107,26.91,92,100,29.37,light snow
229,Faanui,PF,-16.4833,-151.75,82.53,68,0,10.47,light rain
230,Sobolevo,RU,54.4299,31.8996,-4.83,92,68,8.05,broken clouds
231,Itarema,BR,-2.9248,-39.9167,77.97,84,28,9.48,scattered clouds
232,Front Royal,US,38.9182,-78.1944,36.0,69,1,1.97,clear sky
233,Floresta,BR,-8.6011,-38.5686,82.09,35,97,4.56,overcast clouds
234,Alice Springs,AU,-23.7,133.8833,87.8,23,4,13.8,clear sky
235,Oppdal,NO,62.5943,9.6912,8.49,76,0,5.39,clear sky
236,Lorengau,PG,-2.0226,147.2712,86.38,66,100,5.55,overcast clouds
237,Les Cayes,HT,18.2,-73.75,76.35,83,46,8.95,scattered clouds
238,Cabedelo,BR,-6.9811,-34.8339,78.8,83,20,2.3,few clouds
239,Carmo Do Rio Verde,BR,-15.3536,-49.7075,70.7,95,100,12.64,overcast clouds
240,Rosetta,EG,31.4044,30.4164,55.4,94,0,3.44,clear sky
241,Broome,US,42.2506,-75.833,24.8,33,1,4.61,clear sky
242,Souillac,MU,-20.5167,57.5167,75.0,86,6,1.99,clear sky
243,Syracuse,IT,37.0881,15.2792,55.0,93,20,3.44,few clouds
244,Verkhnyaya Inta,RU,65.9811,60.3094,-19.64,85,100,14.32,overcast clouds
245,Ponta Do Sol,PT,32.6667,-17.1,54.0,65,23,7.0,few clouds
246,Panzhihua,CN,26.5851,101.7128,55.99,49,0,0.85,clear sky
247,Potsdam,DE,52.3989,13.0657,25.0,72,100,1.99,light snow
248,Atasu,KZ,48.6814,71.6433,18.95,96,98,22.7,overcast clouds
249,Nanning,CN,22.8167,108.3167,66.2,72,0,2.24,clear sky
250,Pitsunda,GE,43.1592,40.3378,44.6,87,90,11.18,light rain
251,Saint-Augustin,CA,51.226,-58.6502,32.47,97,100,19.8,light snow
252,Noumea,NC,-22.2763,166.4572,87.8,62,75,10.36,broken clouds
253,Genhe,CN,50.7833,121.5167,-7.49,84,8,1.74,clear sky
254,Maarianhamina,AX,60.0973,19.9348,1.4,92,0,2.3,clear sky
255,Brae,GB,60.3964,-1.353,33.8,60,90,18.41,overcast clouds
256,Port-Cartier,CA,50.0334,-66.8654,26.6,74,99,11.5,overcast clouds
257,Odesskoye,RU,54.2111,72.9651,33.4,97,100,23.82,light snow
258,Hamilton,US,39.1834,-84.5333,30.0,59,1,6.91,clear sky
259,Gualeguay,AR,-33.1416,-59.3097,71.38,44,0,6.76,clear sky
260,Kangaba,ML,11.9333,-8.4167,76.05,18,91,5.53,overcast clouds
261,Sampit,ID,-2.5333,112.95,83.46,78,100,3.02,overcast clouds
262,Kalachinsk,RU,55.0529,74.5751,33.67,98,100,17.31,light snow
263,Sorland,NO,67.667,12.6934,35.4,79,11,17.87,few clouds
264,Zhigansk,RU,66.7697,123.3711,-36.47,81,100,13.58,overcast clouds
265,Helena,US,46.5927,-112.0361,6.01,78,90,11.5,snow
266,Baculin,PH,7.4525,126.5842,79.61,84,100,7.61,overcast clouds
267,Barra Dos Coqueiros,BR,-10.9089,-37.0386,80.6,78,75,10.36,broken clouds
268,Beringovskiy,RU,63.05,179.3167,-6.45,90,83,11.74,broken clouds
269,Keetmanshoop,NA,-26.5833,18.1333,69.8,38,0,9.1,clear sky
270,Kawalu,ID,-7.3817,108.2082,82.62,68,54,3.89,broken clouds
271,Ahipara,NZ,-35.1667,173.1667,69.31,66,95,1.61,overcast clouds
272,Mattru,SL,7.6244,-11.8332,75.2,81,94,2.01,overcast clouds
273,Salina Cruz,MX,16.1667,-95.2,77.97,82,25,9.31,scattered clouds
274,Salalah,OM,17.0151,54.0924,73.4,68,75,1.14,broken clouds
275,Luwuk,ID,-0.9516,122.7875,85.84,58,100,2.1,overcast clouds
276,Okha,RU,53.5739,142.9478,2.98,93,100,8.75,overcast clouds
277,Pangnirtung,CA,66.1451,-65.7125,23.5,80,88,3.94,overcast clouds
278,Sheffield,GB,53.383,-1.4659,36.0,96,100,5.01,snow
279,Minab,IR,27.1467,57.0801,59.0,88,20,4.61,few clouds
280,Kondol,RU,52.8189,45.058,-6.05,91,95,12.33,overcast clouds
281,Novoagansk,RU,61.9449,76.6625,33.15,94,100,13.67,overcast clouds
282,Cayenne,GF,4.9333,-52.3333,77.0,100,75,3.44,heavy intensity rain
283,Larsnes,NO,62.2028,5.5773,24.01,77,0,1.99,clear sky
284,Itacoatiara,BR,-3.1431,-58.4442,76.01,95,100,2.04,moderate rain
285,Kalispell,US,48.1958,-114.3129,23.0,80,90,13.8,snow
286,Linxia,CN,35.6003,103.2064,32.9,65,100,0.72,overcast clouds
287,Erzin,TR,36.9559,36.2,53.01,92,31,4.0,scattered clouds
