City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hermanus,ZA,21-02-03 23:58:48,-34.4187,19.2345,60.01,92,27,2.39
1,Ingham,US,21-02-03 23:58:49,42.6,-84.3833,30.2,63,1,4.79
2,Turan,VN,21-02-03 23:58:49,16.0678,108.2208,68.0,94,40,5.37
3,Salinas,US,21-02-03 23:58:49,36.6777,-121.6555,57.2,58,1,16.11
4,Port Elizabeth,ZA,21-02-03 23:58:50,-33.918,25.5701,68.0,94,0,10.36
5,Tuktoyaktuk,CA,21-02-03 23:58:50,69.4541,-133.0374,-40.0,67,20,4.61
6,Mushie,CD,21-02-03 23:58:50,-3.0167,16.9,73.44,92,76,2.01
7,Amberieu-En-Bugey,FR,21-02-03 23:58:51,45.9589,5.3432,50.0,76,0,8.05
8,Buraydah,SA,21-02-03 23:58:51,26.326,43.975,60.8,51,0,5.75
9,Punta Arenas,CL,21-02-03 23:55:33,-53.15,-70.9167,62.6,63,0,16.11
10,Cabo San Lucas,MX,21-02-03 23:58:53,22.8909,-109.9124,80.6,36,20,4.61
11,Busselton,AU,21-02-03 23:58:55,-33.65,115.3333,59.0,73,0,1.01
12,Rikitea,PF,21-02-03 23:58:55,-23.1203,-134.9692,78.28,71,0,13.11
13,Hithadhoo,MV,21-02-03 23:58:56,-0.6,73.0833,82.67,73,97,9.19
14,Sao Miguel Do Araguaia,BR,21-02-03 23:55:44,-13.275,-50.1628,74.89,88,70,5.17
15,Los Llanos De Aridane,ES,21-02-03 23:58:56,28.6585,-17.9182,64.4,82,90,5.75
16,Nikolskoye,RU,21-02-03 23:58:57,59.7035,30.7861,17.01,92,90,17.9
17,Ucluelet,CA,21-02-03 23:55:54,48.9329,-125.5528,45.0,76,90,6.91
18,Missoula,US,21-02-03 23:58:14,47.0166,-113.8009,35.01,93,75,3.38
19,Qaanaaq,GL,21-02-03 23:58:58,77.484,-69.3632,-21.87,66,50,4.68
20,Abu Samrah,SY,21-02-03 23:58:58,35.3029,37.1841,50.85,70,99,10.92
21,Belyy Yar,RU,21-02-03 23:58:59,53.6039,91.3903,30.2,64,0,11.18
22,The Valley,AI,21-02-03 23:58:59,18.217,-63.0578,79.0,83,40,12.66
23,Albany,US,21-02-03 23:58:59,42.6001,-73.9662,28.0,67,95,14.0
24,Igis,CH,21-02-03 23:59:00,46.9453,9.5722,39.0,74,95,2.62
